type,alcool,sulphites,pH,densite,chlorure,sucre_residuel,acide_citrique,acidite_volatile,acidite_non_volatile,dioxyde_souffre_total,dioxyde_souffre_libre,qualite
blanc,10.8,0.38,3.22,0.99482,0.048,NA,0.29,0.21,6.3,147,49,5
blanc,9.5,0.48,2.89,NA,0.053,2.5,0.33,0.25,8.3,72,12,5
NA,9.4,0.58,3.12,0.9942,0.049,1.5,0.31,0.17,8.3,153,48,6
NA,9.8,0.93,3.03,0.9982,0.079,NA,0.51,0.31,11.5,28,14,6
NA,10.5,0.53,3.22,NA,0.047,8.5,0.28,0.18,6.8,242,52,6
NA,10.2,0.44,3.31,0.9987,0.048,10.4,0.49,0.22,9,195,52,6
blanc,9.3,0.56,2.99,0.9988,0.211,NA,0.42,0.55,8,213,37,5
blanc,11,0.64,3.46,0.99615,0.059,8.5,0.3,0.34,6.7,152,24,7
rouge,9.6,0.44,3.22,0.9976,0.082,2,0.04,0.56,8.4,22,10,5
blanc,8.8,0.49,3.1,0.998,0.05,13.1,0.24,0.32,7.1,204,52,5
NA,10.5,0.46,3.06,0.99092,0.041,1.5,0.31,0.17,6.5,121,34,6
NA,11,0.75,3.42,NA,0.076,2.3,0.13,0.51,6.3,40,29,6
blanc,9.9,0.58,2.99,0.99408,0.046,6.6,0.15,0.2,6.4,113,26,6
NA,10.8,0.68,3.42,0.99522,0.078,2.2,0,0.59,7.1,44,26,6
NA,NA,0.54,3.16,0.997,0.112,2,0.61,0.665,8.4,95,13,5
rouge,11.1,0.75,3.41,0.9949,0.081,NA,0.33,0.41,6.9,36,22,6
NA,11.9,0.37,2.93,NA,0.025,7.9,0.37,0.16,8.3,107,38,6
NA,9.8,0.72,3.6,1.00025,0.096,NA,0,0.87,8.1,61,26,4
NA,11,0.38,3.04,0.99224,0.046,7.7,0.33,0.52,6,119,24,6
blanc,9.6,0.45,3.19,0.9948,0.048,NA,0.5,0.32,6.2,186,61,5
rouge,NA,0.9,3.28,0.9952,0.062,2,0.3,0.28,7.7,34,18,7
NA,10.8,0.4,3.16,0.9924,0.054,NA,0.28,0.19,6.9,99,33,6
rouge,10,0.8,3.06,1.0014,0.085,NA,0.68,0.415,13.7,43,17,6
blanc,12.2,0.4,3.41,0.99022,0.038,NA,0.09,0.54,4.4,97,52,7
NA,9.9,0.53,3.08,0.99632,0.043,11.3,0.37,0.24,6.7,173,64,6
NA,11.6,0.51,3.37,0.9923,0.023,4,0.25,0.19,6.1,112,23,6
NA,10.8,0.53,3.34,NA,0.076,2.4,0.01,0.63,6.9,39,14,6
NA,10.8,0.34,3.15,0.99402,0.03,NA,0.27,0.16,6,98,39,5
NA,NA,0.45,3.12,0.9945,0.034,4.8,0.49,0.3,6.7,158,36,6
NA,9.7,0.54,3.47,0.993,0.028,1.5,0.38,0.18,6.2,117,36,6
NA,9.6,0.67,3.17,NA,0.387,2.3,0.66,0.55,9.5,37,12,5
blanc,NA,0.73,3.14,0.9907,0.043,1.2,0.44,0.15,6.4,150,67,7
NA,9.4,0.62,3.39,NA,0.071,2.3,0.45,0.54,9.9,40,16,5
NA,10.5,0.33,3.24,NA,0.046,1.3,0.56,0.36,7.1,102,25,6
NA,9.1,0.5,3.09,NA,0.11,2.2,0.47,0.35,5.9,138,14,5
NA,11.5,0.4,3.38,NA,0.034,6.8,0.26,0.35,5.1,120,36,6
rouge,10.8,0.61,3.1,0.9994,0.095,NA,0.69,0.39,11.9,35,17,6
NA,12.4,0.49,3.16,0.98962,0.033,2.3,0.38,0.18,6.1,111,28,6
NA,9.9,0.52,3.21,NA,0.08,2,0.26,0.6,7.8,131,31,5
blanc,11.3,0.43,3.12,NA,0.031,11.2,0.24,0.44,7.7,167,41,7
NA,9.5,0.53,3.44,0.9976,0.08,2.6,0,0.71,8,34,11,5
blanc,10.4,0.54,3.25,0.9954,0.045,8.6,0.28,0.21,7,221,37,6
blanc,NA,0.33,3.33,0.9927,0.046,1.2,0.28,0.13,6.7,140,35,7
rouge,NA,0.51,3.56,0.99551,0.166,2.3,0,0.885,6.4,12,6,5
NA,8.8,0.75,3.16,1.00242,0.205,NA,0.5,0.5,9.9,82,48,5
NA,9.5,0.43,3.42,NA,0.056,11.1,0.28,0.25,5.8,175,45,5
NA,9.6,0.45,3.16,NA,0.057,6.4,0.42,0.31,6.7,148,25,5
rouge,9.8,0.53,3.3,0.99612,0.073,1.9,0.26,0.61,7.5,88,24,5
blanc,9.6,0.63,3.16,NA,0.045,10.2,0.39,0.28,7.5,209,59,6
blanc,NA,0.4,3.14,0.99663,0.048,11.2,0.25,0.31,7.1,136,32,5
NA,12.9,0.55,3.56,NA,0.073,2.4,0.05,0.605,5.6,25,19,5
blanc,11.8,0.3,3.03,0.98966,0.031,1.85,0.4,0.22,6.1,111,25,7
NA,NA,0.41,3,0.9906,0.029,4.2,0.28,0.38,7.6,112,7,6
blanc,10.2,0.62,3.2,0.99375,0.038,1.7,0.32,0.28,7,128,27,6
NA,NA,0.63,3.46,0.9992,0.071,2.3,0.44,0.59,9.5,68,21,5
NA,NA,0.48,3.22,0.99224,0.046,1.7,0.45,0.24,5.5,113,22,5
NA,10.5,0.49,3.23,NA,0.062,10.4,0.32,0.26,7.2,114,23,5
NA,9,0.36,2.88,0.99666,0.035,12.5,0.32,0.16,6.7,156,18,6
NA,12.6,0.47,3.32,0.9898,0.02,NA,0.19,0.27,6,110,24,7
NA,9.1,0.47,2.98,0.99839,0.042,13.2,0.52,0.31,7.6,148,61,6
NA,10.5,0.61,3.58,0.9972,0.087,NA,0.42,0.52,7.5,38,8,6
NA,NA,0.39,2.96,0.99792,0.051,14.7,0.28,0.15,7,149,29,7
blanc,9.6,0.38,3.39,NA,0.057,9.6,0.3,0.16,6.9,185,50,6
NA,9,0.46,3.13,1.0002,0.055,17.3,0.31,0.18,7.3,197,32,6
NA,10.1,0.54,3.05,NA,0.046,2.1,0.6,0.21,7.6,165,47,7
NA,10,0.6,3.15,0.99316,0.052,NA,0.33,0.32,6.6,219.5,40,5
NA,NA,0.41,3.18,0.99685,0.046,12.5,0.28,0.26,6.5,225,80,6
NA,NA,0.48,3.14,0.99558,0.046,7,0.41,0.28,6.6,194,59,5
blanc,9.4,0.35,2.94,0.9986,0.052,NA,0.53,0.22,6.6,136,22,5
NA,9,0.48,3.24,NA,0.044,16.65,0.22,0.22,5.7,110,39,6
NA,11,0.39,3.36,0.99221,0.022,6.7,0.27,0.33,5.1,129,44,7
NA,NA,0.63,3.2,0.99128,0.031,3.7,0.25,0.385,5.8,122,38,6
NA,11.4,0.5,3.46,0.9917,0.037,1.5,0.4,0.2,6.3,107,35,6
NA,10.2,0.45,3.26,0.9933,0.035,1.6,0.74,0.14,7.5,126,21,6
NA,11.5,0.36,3.21,0.9947,0.034,9.2,0.35,0.25,6.9,150,42,6
blanc,9.6,0.4,3.45,NA,0.056,16.95,0.29,0.26,6.8,179,48,5
blanc,13,0.57,3.16,0.98946,0.032,4.3,0.28,0.32,5.8,115,46,8
NA,9.2,0.52,3.49,NA,0.075,2.5,0,0.695,7.3,13,3,5
NA,10.9,0.4,3.5,0.99476,0.137,2.1,0,1.58,7.6,9,5,3
NA,11.2,0.74,3.26,0.9998,0.084,2.8,0.63,0.33,10.4,22,5,7
NA,NA,0.67,3.15,0.99686,0.054,1.7,0.47,0.28,11.7,32,17,7
NA,NA,0.36,3.22,0.9911,0.038,8.1,0.32,0.33,5.9,34,9,7
NA,8.6,0.46,3.03,0.9951,0.092,4.9,0.24,0.22,6.8,123,30,6
blanc,8.9,0.48,3.13,0.9963,0.049,7.9,0.3,0.26,7.4,157,38,6
NA,9.4,0.54,3.44,0.99768,0.083,2.3,0,0.67,7.1,27,18,5
NA,9.9,0.58,3.39,0.9956,0.04,7.1,0.21,0.26,6.4,162,35,6
NA,NA,0.36,3.21,0.9928,0.092,1.6,0.47,0.13,6.4,158,40,6
NA,9,0.48,3.11,0.99827,0.056,NA,0.21,0.3,6.9,159,49,5
NA,10.3,0.64,3.22,NA,0.091,2.7,0.23,0.55,10.4,48,18,6
NA,11.4,0.52,3.31,NA,0.035,1.1,0.25,0.21,5.7,81,26,6
NA,9.6,0.47,3.16,0.9953,0.061,6.3,0.41,0.37,6.7,149,22,6
NA,9.3,0.52,3.23,0.99545,0.053,7.9,0.22,0.24,6.2,149,45,5
NA,9.7,0.62,3.16,0.99119,0.041,0.9,0.56,0.23,5.3,141,46,5
NA,9.5,0.48,3.23,0.99542,0.05,8.2,0.21,0.26,6.4,182,51,5
NA,NA,0.36,2.88,0.99666,0.035,12.5,0.32,0.16,6.7,156,18,6
NA,11,0.32,2.99,0.994,0.03,9.3,0.49,0.19,7.4,132,26,7
blanc,NA,0.34,3.08,0.9938,0.061,1.2,0.49,0.25,8,117,27,5
NA,11.8,0.76,3.33,0.99524,0.071,1.75,0.51,0.18,8.5,88,45,7
NA,NA,0.58,3.37,0.99675,0.097,1.9,0,0.645,7.2,39,15,6
NA,NA,0.81,3.05,1.0014,0.094,3.2,0.52,0.34,13.3,53,17,6
NA,NA,0.62,3.31,0.99568,0.111,2.1,0.52,0.36,9,10,5,6
NA,10.3,0.45,3.28,0.99293,0.044,1.3,0.41,0.28,7.5,126,11,5
NA,9.9,0.55,3.21,0.994,0.058,NA,0.38,0.24,7.8,167,14,5
blanc,NA,0.64,3.06,0.99126,0.047,2.8,0.31,0.23,6.8,122,40,7
NA,13.2,0.43,3.08,0.98794,0.033,NA,0.25,0.29,6,114,30,6
NA,NA,0.42,3.21,0.9956,0.045,7.8,0.74,0.25,6.4,209,52,6
rouge,12.7,0.68,3.3,1.0021,0.085,4.3,0.49,0.47,13,47,6,6
NA,11.1,0.72,3.42,0.9956,0.068,NA,0,0.67,7.2,24,10,6
NA,11.1,0.83,3.33,NA,0.088,2.2,0.21,0.5,8.9,39,21,6
NA,9.2,0.41,3.06,0.9996,0.046,18.05,0.49,0.18,7.6,158,36,5
NA,NA,0.38,2.96,0.99314,0.028,11.6,0.27,0.3,6.8,97,22,6
NA,10.1,0.53,3.43,0.9934,0.047,NA,0.31,0.2,7.6,142,41,6
rouge,11,0.87,3.47,0.99604,0.064,NA,0.36,0.22,8.6,77,53,7
rouge,11,0.65,3.15,0.9972,0.07,2.6,0.53,0.35,10.7,16,5,8
NA,12.2,0.56,3.08,0.99,0.021,2,0.43,0.24,7.3,69,20,6
NA,10.3,0.72,3.28,NA,0.039,14.2,0.41,0.18,6.5,129,47,7
NA,9.2,0.62,3.14,0.9946,0.052,4.8,0.22,0.41,6.5,142,49,5
NA,10.5,0.75,3.15,NA,0.071,1.9,0.42,0.38,9.6,13,5,6
NA,11.8,0.44,3.05,0.9913,0.037,1.8,0.24,0.31,7.6,150,39,7
NA,10.7,0.56,3.45,0.9965,0.102,NA,0,0.775,6.8,23,8,5
NA,10.5,0.62,3.48,0.9948,0.054,2.1,0.41,0.2,7.1,166,24,6
blanc,12.6,0.71,3.36,0.99198,0.038,4.8,0.25,0.34,6.6,121,16,6
NA,12.1,0.58,3.24,0.9918,0.115,NA,0.48,0.225,6.4,104,29,6
NA,9.3,0.51,3.24,0.99198,0.037,NA,0.28,0.15,5.8,127,43,5
NA,8.7,0.58,2.96,1.0017,0.056,16.6,0.55,0.32,7.4,238,53,6
NA,10.2,0.5,3.28,0.9924,0.053,NA,0.35,0.28,5.8,114,36,4
NA,NA,0.52,3.15,0.99226,0.049,1.5,0.37,0.2,7.1,129,28,5
rouge,12.1,0.77,3.35,NA,0.064,2.5,0.33,0.34,7.3,37,21,7
blanc,11.2,0.27,3.22,NA,0.045,3.7,0.28,0.15,5.7,151,57,6
blanc,11,0.4,3.25,0.9928,0.036,3,0.33,0.21,7.2,132,35,6
blanc,11.2,0.62,3.05,NA,0.032,1.8,0.32,0.29,6.8,130,18,6
NA,9.6,0.45,3.1,0.9944,0.068,1.6,0.47,0.26,7.6,55,5,5
NA,NA,0.41,3.36,0.9998,0.042,14.75,0.4,0.22,7.3,129.5,44.5,7
NA,9.5,0.44,3.28,0.99542,0.032,8.6,0.14,0.28,5.9,142,30,6
NA,10.1,0.62,3.39,0.99697,0.079,2,0.06,0.6,7.7,41,19,6
NA,9.8,0.66,3.17,0.9966,0.083,2.3,0.12,0.655,8.3,113,15,5
NA,11.9,0.58,3.13,0.99604,0.103,2.4,0.41,0.38,9,10,6,7
blanc,10.7,0.54,2.91,NA,0.028,4.3,0.51,0.14,6.7,124,57,7
NA,NA,0.45,3.11,0.99406,0.039,9.8,0.28,0.18,6.8,113,29,7
blanc,13.1,0.56,3.24,0.98968,0.04,4.8,0.38,0.31,6,101,41,6
NA,11.1,0.42,3.06,0.99106,0.03,2.3,0.26,0.32,6.9,103,11,6
NA,11.3,0.52,3.24,0.99035,0.031,1,0.31,0.2,6.2,73,22,6
blanc,12.3,0.47,3.09,0.99024,0.035,NA,0.22,0.29,6.8,122,40,6
NA,12.5,0.37,3.04,0.98916,0.035,NA,0.29,0.38,6.6,101,15,6
NA,9.5,0.36,3.2,NA,0.049,13.3,0.3,0.15,7,120,46,7
NA,11,0.64,3.27,0.992,0.037,NA,0.29,0.24,7.2,102,37,7
NA,10.5,0.34,3.02,NA,0.035,1.1,0.07,0.47,7,151,17,5
NA,11.9,0.51,2.97,NA,0.034,1.7,0.27,0.27,7.9,122,25,6
NA,9.9,0.49,3.37,0.999,0.073,6,0.15,1.035,8.4,54,11,5
NA,9.7,0.43,3.27,0.99271,0.058,NA,0.26,0.38,5.8,140,20,6
NA,8.9,0.47,2.93,NA,0.043,19.45,0.4,0.29,6.9,156,36,5
NA,11,0.37,3.21,0.9918,0.037,1,0.38,0.2,7.2,74,21,5
NA,12.5,0.42,3.42,NA,0.032,1.6,0.21,0.28,5.5,85,23,5
NA,10.3,0.54,3.25,NA,0.081,1.6,0.29,0.43,8.2,45,27,5
NA,9.1,0.53,3.05,0.99884,0.05,13.1,0.31,0.24,7.5,180,26,6
NA,13,0.55,3.26,NA,0.036,4.1,0.22,0.5,6.5,131,35,7
NA,NA,0.39,3.1,0.993,0.042,3.8,0.49,0.22,7.9,105,26,5
blanc,10.8,0.48,3.21,NA,0.038,5.9,0.49,0.2,7,128,39,6
NA,NA,0.38,3,0.993,0.049,5.1,0.17,0.17,6.8,82,26,6
NA,NA,0.44,3.23,0.9924,0.034,6.4,0.32,0.3,7,97,28,6
blanc,NA,0.57,3.34,0.9944,0.043,6.9,0.07,0.58,5.3,149,34,5
NA,10.4,0.68,3,NA,0.033,1.1,0.49,0.18,8.2,81,28,7
NA,11.8,0.35,3.25,0.99033,0.041,NA,0.32,0.24,6.4,131,23,5
NA,9.1,0.59,3.08,NA,0.094,2.6,0.49,0.47,9.1,106,38,5
NA,9.9,0.33,3.19,NA,0.056,9.9,0.29,0.14,6.9,91,30,6
blanc,NA,0.48,3.16,0.99064,0.045,2.3,0.45,0.25,7,118,40,7
NA,9.3,0.44,3.15,0.9953,0.039,NA,0.4,0.29,6.3,167,43,6
NA,12.1,0.49,3.1,0.9902,0.03,2.9,0.49,0.36,6.5,94,16,7
NA,11.9,0.6,3.54,0.99622,0.076,NA,0.15,0.7,6.2,27,13,6
NA,NA,0.4,3.42,0.9962,0.043,8.8,0.34,0.11,6.7,113,41,7
NA,9.8,0.47,3.56,0.999,0.069,14,0.35,0.25,6.6,163,42,5
NA,9.5,0.37,3.24,0.9946,0.05,NA,0.26,0.32,8,88,11.5,4
NA,10.6,0.42,3.24,0.9946,0.048,NA,0.49,0.11,7.9,133,27,6
NA,9.4,0.48,3.58,0.9928,0.036,NA,0.3,0.26,5.9,114,38,5
NA,9.8,0.5,3.38,NA,0.037,1.5,0.37,0.16,6.4,109,27,6
NA,9.9,1.95,2.93,0.9972,0.11,NA,0.28,0.49,8.6,136,20,6
blanc,9.7,0.5,3.16,0.99632,0.043,10.2,0.35,0.19,6.4,106,40,6
NA,9.9,0.63,3.3,0.994,0.046,6.4,0,0.31,5,166,43,6
NA,NA,0.57,3.11,0.9966,0.045,10.4,0.3,0.18,7.4,174,44,6
blanc,NA,0.48,3.27,1,0.046,18.1,0.36,0.21,6.8,133,32,5
NA,11.8,0.51,3.28,0.99161,0.028,6.2,0.52,0.28,6,104,37,7
blanc,9.6,0.53,3.19,0.99767,0.055,15,0.25,0.2,6.2,120,8,6
blanc,11.1,0.4,3.25,0.9914,0.026,2.2,0.38,0.21,6.6,104,40,8
NA,9,0.38,3.05,0.9967,0.076,10.7,0.27,0.25,6.8,154,47,5
NA,12.6,0.34,3.27,NA,0.039,4.6,0.24,0.36,6.8,124,24,7
NA,10,0.67,3.29,0.99692,0.078,1.7,0.24,0.785,9,21,10,5
NA,11.2,0.44,3.32,NA,0.032,1.2,0.37,0.14,6,148,63,5
NA,8.7,0.58,2.96,NA,0.056,16.6,0.55,0.32,7.4,238,53,6
blanc,NA,0.52,3.23,0.993,0.04,1.6,0.36,0.32,7.6,155,32,6
blanc,13.1,0.4,3.31,NA,0.04,1,0.32,0.17,6.3,118,39,8
blanc,12,0.34,3.15,0.99022,0.046,3.6,0.31,0.43,6.5,143,19,8
NA,9.4,0.45,3.21,0.99582,0.049,6.2,0.48,0.26,6.8,182,55,6
rouge,9.2,0.44,3.12,0.9955,0.087,2.3,0.21,0.79,7.6,68,21,5
rouge,NA,0.67,3.08,0.9984,0.084,2.2,0.41,0.4,10.8,17,7,6
NA,10.9,0.51,3.17,0.9928,0.024,3.6,0.39,0.24,7.3,116,35,5
NA,NA,0.62,3.32,0.9984,0.084,2.8,0.32,0.48,9,122,21,5
NA,10.6,0.56,3.47,0.99154,0.035,NA,0.26,0.295,5.6,102,40,6
NA,9.4,0.48,3.45,NA,0.082,2,0.28,0.34,7.1,68,31,5
NA,11.5,0.55,3.31,0.99168,0.032,NA,0.28,0.2,6.4,84,24,5
NA,11.4,0.55,3.42,0.9931,0.045,2,0.33,0.22,7.4,101,31,5
NA,11.8,0.42,3.19,0.9911,0.035,1.7,0.4,0.14,7,85,16,6
NA,NA,0.49,3.04,0.99838,0.067,14.95,0.26,0.29,7.5,178,47,4
NA,8.6,0.35,3.25,0.9955,0.046,4.2,0.19,0.27,6.5,114,6,4
blanc,9.6,0.39,3.21,0.9966,0.062,NA,0.34,0.13,7.6,126,40,5
NA,12.1,0.96,3.02,NA,0.041,13.6,0.29,0.38,7.1,137,30,6
NA,10.8,0.55,3.66,NA,0.039,9.1,0.66,0.28,5.8,159,26,5
blanc,10,0.36,3.26,0.99425,0.057,7.9,0.28,0.14,6.4,82,21,6
NA,10.2,0.63,3.26,NA,0.096,2.7,0.28,0.63,8.7,69,17,6
rouge,9.8,0.66,3.59,0.99689,0.081,NA,0.21,0.64,6.4,31,14,5
NA,10.9,0.42,3.21,0.9938,0.037,1.1,0.47,0.5,8.1,126,23,5
NA,9.5,0.52,3.07,0.9976,0.039,NA,0.31,0.18,8.2,249,96,6
NA,NA,0.68,3.46,0.997,0.067,1.8,0.02,0.57,6.4,11,4,5
NA,9.5,0.48,2.99,0.9942,0.057,3.6,0.24,0.25,6.9,85,13,4
NA,9.2,1.08,3.04,0.9969,0.341,1.8,0.51,0.32,7.9,56,17,6
blanc,9.2,0.5,3.1,NA,0.045,14.5,0.31,0.19,7.4,193,39,6
NA,10.2,0.53,3.1,0.99514,0.044,2,0.49,0.16,9.2,107,18,4
NA,NA,0.49,3.32,0.9948,0.056,2,0.49,0.16,7.7,124,20,6
NA,9,0.5,3.38,0.9974,0.086,4.4,0.08,0.59,7.4,29,6,4
NA,9.8,0.44,3.19,0.99438,0.092,NA,0.35,0.32,7.6,138,24,5
NA,11.4,0.42,3.08,0.99444,0.043,9.2,0.33,0.38,7.5,116,19,6
blanc,9.8,0.58,3.14,NA,0.044,9.1,0.41,0.2,6.7,166,50,6
NA,8.8,0.49,3.02,0.99904,0.048,16.4,0.5,0.22,6.5,182,36,6
rouge,11.9,0.82,3.44,NA,0.052,2,0.42,0.3,7.6,24,6,6
NA,12.4,0.48,3.06,0.99084,0.04,NA,0.34,0.27,7.6,56,18,6
blanc,10.6,0.39,3.18,0.99368,0.036,8.7,0.3,0.21,6,127,47,5
NA,NA,0.6,3,0.99784,0.048,13.65,0.29,0.38,6.9,189,52,6
blanc,12,0.58,3.38,NA,0.034,4.6,0.33,0.34,6.3,80,19,7
NA,9.4,0.49,3.08,0.99754,0.033,NA,0.17,0.4,6.9,186,59,5
NA,10.9,0.68,3.33,0.99619,0.084,NA,0,0.765,7.9,22,9,6
NA,12.1,0.48,3.13,0.99,0.044,1.2,0.49,0.27,6.8,126,35,7
rouge,NA,0.59,3.26,0.99636,0.089,1.9,0.26,0.54,7.7,147,23,5
NA,10.4,0.41,3.32,0.9962,0.044,7.1,0.32,0.45,7.4,117,17,4
NA,12.9,0.37,3.35,0.98892,0.03,NA,0.27,0.18,5.6,103,31,6
NA,9.2,0.45,3.34,0.9948,0.028,NA,0.27,0.13,5.6,104,22,6
NA,NA,0.45,3.36,0.9944,0.045,6.6,0.2,0.3,6.2,170,42,6
blanc,10,0.47,3.5,0.99346,0.049,1.2,0.39,0.22,6.7,152,26,6
rouge,10.4,0.59,3.3,NA,0.089,2.6,0.08,0.57,7.5,27,14,6
blanc,12.1,0.61,3.06,0.9912,0.04,NA,0.37,0.18,8,96,15,6
blanc,9.8,0.79,3.31,0.9953,0.045,5.3,0.29,0.27,6.6,189,57,5
NA,10,0.7,3.19,0.9992,0.078,3.2,0.49,0.34,10.6,78,20,6
NA,9,0.59,3.3,NA,0.08,1.9,0.18,0.545,8.1,35,13,6
NA,9.7,0.58,3.28,0.99524,0.05,3.75,0.46,0.25,8.2,102,14,5
NA,11.4,0.47,3.06,NA,0.065,1.4,0.32,0.16,7.4,140,23,6
NA,10.5,0.58,3.4,0.9922,0.031,NA,0.37,0.16,6.1,97,37,6
blanc,11.4,0.46,3.34,0.99182,0.028,1.8,0.28,0.24,6.6,132,39,5
NA,12.3,0.5,3.19,NA,0.037,2,0.34,0.24,5.9,108,40,6
NA,10.2,0.54,3.52,NA,0.055,2.1,0.39,0.22,7,198,39,6
NA,9.8,0.44,3.17,0.99461,0.062,5.8,0.2,0.34,7.2,203,52,6
NA,9,0.54,3.1,0.9962,0.048,7.5,0.34,0.24,7.3,152,29,5
blanc,13.6,0.34,3.3,0.98722,0.02,1,0.09,0.67,4.7,9,5,5
blanc,11.1,0.56,3.27,0.99078,0.041,2,0.25,0.2,6,95,30,6
rouge,9.5,0.61,3.02,NA,0.073,4.6,0.49,0.42,12.4,43,19,5
NA,9.7,0.67,3.16,NA,0.082,2.6,0.62,0.27,13.4,21,6,6
NA,9.5,0.48,3.19,0.99542,0.047,NA,0.37,0.27,6.3,215,58,6
NA,NA,0.43,3.16,0.9954,0.05,1.7,0.33,0.2,9.3,178,28,4
blanc,11,0.63,3.43,NA,0.057,7.6,0.49,0.3,6.9,156,25,7
blanc,13.5,0.88,3.48,0.99079,0.028,NA,0.13,0.5,5.4,107,12,7
NA,NA,0.74,3.46,0.99417,0.065,2.3,0.09,0.57,7.8,45,34,8
NA,13.9,0.78,3.36,0.98936,0.027,2.6,0.2,0.32,5.8,123,17,7
NA,9.1,0.46,3.24,0.9957,0.045,7.4,0.44,0.21,6.4,182,47,5
NA,11.5,0.49,3.42,0.9917,0.031,NA,0.4,0.21,6.3,134,48,6
NA,9.8,0.45,3.14,0.9981,0.053,14,0.28,0.22,8,197,83,6
NA,10.3,0.75,3.11,0.9932,0.043,1.4,0.44,0.16,7.6,109,25,6
rouge,9.5,0.57,3.36,0.9968,0.073,NA,0.02,0.58,7.8,18,9,7
NA,11.9,0.46,3.33,NA,0.085,2,0.3,0.43,7,39,6,6
NA,12.8,0.36,3.46,0.98904,0.03,4.3,0.39,0.32,4.4,127,31,8
NA,11,0.9,3.15,0.9978,0.066,2.1,0.47,0.24,10.5,24,6,7
NA,9,0.58,3.29,1.0004,0.094,3.5,0.58,0.49,9.9,43,9,5
NA,12,0.34,3.09,0.99016,0.035,3.8,0.3,0.34,5.9,135,57,6
NA,11.3,0.76,3.75,0.99238,0.043,2.7,0.22,0.255,5,153,46,6
NA,NA,0.67,3.38,0.9996,0.044,15.6,0.74,0.18,7.1,176,44,6
NA,11.2,0.48,3.37,0.99183,0.026,NA,0.29,0.21,6.6,128,35,6
NA,8.8,0.67,3.34,0.9994,0.043,NA,0.33,0.28,7,168,47,6
blanc,NA,0.28,3.05,0.99178,0.018,1.2,0.23,0.23,6.2,128,18,5
NA,10.6,0.5,3.08,0.99497,0.029,6.7,0.34,0.26,9,162,21,6
NA,9.3,0.34,3.19,0.99727,0.067,12,0.42,0.615,6.9,131,24,5
NA,9.2,0.37,3.23,NA,0.042,7.8,0.13,0.32,6.9,117,11,5
NA,11.3333333333333,0.56,3.24,0.99339,0.051,9.15,0.3,0.29,6.5,166,25,6
rouge,NA,0.62,3.17,1,0.09,2.1,0.69,0.36,11.4,21,6,6
NA,10.4,0.42,3.19,0.99429,0.043,8,0.25,0.23,5.6,101,31,6
NA,11.3,0.56,3.03,NA,0.034,2.6,0.3,0.23,7.1,148,62,7
NA,10.7,0.54,3.34,0.9958,0.04,NA,0.32,0.22,6.9,110,22,7
NA,10.8,0.66,3.8,0.99374,0.052,1.7,0.24,0.2,6.3,135,36,6
NA,12.2,0.64,3.17,NA,0.039,1.5,0.35,0.32,7,125,24,6
NA,12,0.52,3.23,0.99585,0.061,2,0.47,0.35,10,11,6,6
NA,NA,0.5,3.14,0.99492,0.048,8.3,0.38,0.33,6.5,174,68,5
NA,9.5,0.68,3.06,0.99907,0.049,NA,0.26,0.33,7.4,210,67,5
rouge,9.7,0.43,3.09,NA,0.075,1.7,0.1,0.39,8.4,25,6,6
NA,NA,0.98,3.01,0.9942,0.053,5.8,0.49,0.24,6.4,120,25,6
NA,11.5,0.34,2.99,0.9937,0.034,6.9,0.49,0.31,9,91,26,5
NA,10,0.52,3.34,0.9978,0.103,NA,0.24,0.5,9.9,14,6,4
NA,9.5,0.53,3.11,NA,0.066,6.9,0.39,0.34,7,162,43,5
NA,12,0.33,3.06,NA,0.031,3.2,0.38,0.36,6.2,89,20,7
NA,11.5,0.62,3.74,0.9934,0.05,1.6,0.24,1.04,5,96,32,5
NA,10.5,0.61,3.53,0.9975,0.089,NA,0.44,0.4,8.2,43,11,6
NA,10,0.59,3.47,NA,0.048,13.3,0.22,0.31,7.9,212,46,5
NA,10.4,0.64,3.37,0.9956,0.077,NA,0.2,0.46,7.1,54,28,6
NA,9.7,0.45,3.11,NA,0.05,1.5,0.3,0.43,9,175,7,4
NA,NA,0.6,3.27,0.9976,0.097,2.5,0.26,0.54,8.7,31,7,6
NA,10.2,0.39,3.21,NA,0.043,2,0.2,0.23,5.8,154,39,6
blanc,10.7,0.53,3.25,NA,0.051,9,0.27,0.27,5.9,136,43,6
blanc,9.5,0.68,3.06,0.99907,0.049,15.6,0.26,0.33,7.4,210,67,5
NA,NA,0.78,3.22,0.99935,0.071,4,0.58,0.37,10.9,65,17,5
NA,9.2,0.48,3.02,0.99792,0.112,13.1,0.38,0.38,6.9,94,14,5
NA,NA,0.66,2.98,0.9976,0.074,1.9,0.49,0.28,12,21,10,7
blanc,11.9,0.59,3.27,0.99076,0.028,2.2,0.32,0.22,6.5,92,36,7
NA,11.5,0.52,3.04,NA,0.041,10.4,0.27,0.27,7.1,114,26,7
NA,13,0.96,3.19,0.98926,0.03,1.2,0.4,0.15,6.1,84,19,6
NA,NA,0.56,3.3,0.99572,0.054,12.9,0.32,0.33,6,113,6,4
NA,NA,0.36,3.3,0.9905,0.029,4.2,0.16,0.3,5.3,100,37,8
NA,10.6,0.38,3.08,NA,0.042,0.6,0.35,0.24,8.7,71,11,5
NA,NA,0.63,3.32,0.99815,0.093,2.8,0.31,0.46,9,98,19,6
